Title,IMDB_ID,Subtitle,Status,Media Type,Remarks,Year,genre,runtime,director,plot,award,imdb_rating,release_date,directors
ANNAPOLIS SALUTE,tt0028578,,APP,FILM,NAVY GRANTED ACCESS TO THE NAVAL ACADEMY GROUNDS AND MIDSHIPMEN AS BACKGROUND FOR TYPICAL SERVICE ACADEMY FILM.,1937,"Drama, Romance",65 min,Christy Cabanne,"The adventures of three disparate cadets at the US Naval Academy--one the son of a Navy enlisted man, the other the scion of a wealthy family, the third decent but somewhat slow-witted--and their struggles with the rigors of the academy, women, and each other.",,5.8,10 Sep 1937,nm0127511
ANNAPOLIS STORY,tt0047835,,APP,FILM,"NAVY PROVIDED FULL COOPERATION. NOT REALLY ABOUT ANNAPOLIS, BUT ABOUT CARRIER WARFARE DURING THE KOREAN WAR. A FEW SCENES TAKE PLACE AT ANNAPOLIS AND SOME DURING FLIGHT SCHOOL AT PENSACOLA.",1955,Drama,81 min,Don Siegel,"Two brothers, enrolled at the U.S. Naval Academy on the verge of the Korean War, fall in love with the same girl.",,5.2,10 Apr 1955,nm0796923
ANTWONE FISHER,tt0168786,THE ANTWONE FISHER STORY,APP,FILM,"AFTER THE NAVY WORKED ON SCRIPT NEGOTIATIONS FOR MONTHS, MAINLY ON CHARACTER ISSUES SUCH AS EXCESSIVE PROFANITY, THE FORMAL REQUEST CAME IN. FILMING ASSISTANCE CONSISTED OF FILMING FOR SEVERAL DAYS IN PORT AND AT SEA (SECOND UNIT) ON AN AMPHIBIOUS SHIP HOMEPORTED IN SAN DIEGO, CA, AND ALSO FILMING AT NAVAL STATION, NAVAL AIR STATION, AND BALBOA NAVAL HOSPITAL FOR SEVERAL DAYS AT EACH LOCATION, ALL IN THE SAN DIEGO AREA.",2002,"Biography, Drama",120 min,Denzel Washington,"A sailor prone to violent outbursts is sent to a naval psychiatrist for help. Refusing at first to open up, the young man eventually breaks down and reveals a horrific childhood. Through the guidance of his doctor, he confronts his painful past and begins a quest to find the family he never knew.",19 wins & 22 nominations.,7.3,10 Jan 2003,nm0000243
ANZIO,tt0062673,,APP,FILM,TYPICAL ARMY SUPPORT FOR WORLD WAR II STORY SET INFAMOUS ASSAULT.,1968,"Drama, History, War",117 min,"Edward Dmytryk, Duilio Coletti","Allied forces land at Anzio unopposed but instead of moving straight inland their commanding officer decides to dig in. A battle-hardened war correspondent borrows a jeep and drives to Rome and back without meeting any German forces, but his report on this absence of the enemy is discounted. By the time it is finally decided to make a move the Germans have arrived in strength and a prolonged and bloody fight ensues.",,6.0,24 Jul 1968,"nm0171385,nm0229424"
APOCALYPSE NOW,tt0078788,,DEN,FILM,"COPPOLA CAME INTO PENTAGON WITH SCRIPT WHICH HE SAID HAD NO ENDING YET BUT WANTED HELP. SINCE SCRIPT CALLED FOR ""TERMINATION"" OF ONE OFFICER BY ANOTHER, ARMY ALWAYS REFUSED TO CONSIDER ASSISTANCE. DESPITE SUBSEOUENT EFFORTS, DOD DID NOT ANSWER TELEGRAM TO PRESIDENT CARTER WHICH MARKED END OF COMMUNICATIONS ON FILM. ORIGINAL DOD FILE HAS DISAPPEARED. ENTIRE FILE WAS COPIED AND NOW AT GEORGETOWN UNIVERSITY LIBRARY.",1979,"Drama, Mystery, War",147 min,Francis Ford Coppola,"It is the height of the war in Vietnam, and U.S. Army Captain Willard is sent by Colonel Lucas and a General to carry out a mission that, officially, 'does not exist - nor will it ever exist'. The mission: To seek out a mysterious Green Beret Colonel, Walter Kurtz, whose army has crossed the border into Cambodia and is conducting hit-and-run missions against the Viet Cong and NVA. The army believes Kurtz has gone completely insane and Willard's job is to eliminate him! Willard, sent up the Nung River on a U.S. Navy patrol boat, discovers that his target is one of the most decorated officers in the U.S. Army. His crew meets up with surfer-type Lt-Colonel Kilgore, head of a U.S Army helicopter cavalry group which eliminates a Viet Cong outpost to provide an entry point into the Nung River. After some hair-raising encounters, in which some of his crew are killed, Willard, Lance and Chef reach Colonel Kurtz's outpost, beyond the Do Lung Bridge. Now, after becoming prisoners of Kurtz, will Willard & the others be able to fulfill their mission?",Won 2 Oscars. Another 19 wins & 32 nominations.,8.4,15 Aug 1979,nm0000338
APOLLO 13,tt0112384,AKA LOST MOON,APP,FILM,"REQUESTED USE OF NAVY SHIP, ETC, TO REENACT CAPSULE RECOVERY AT END OF MISSION. ENTIRELY ACCURATE AND POSITIVE DEPICTIONS ALL AROUND.",1995,"Adventure, Drama, History",140 min,Ron Howard,"Based on the true story of the ill-fated 13th Apollo mission bound for the moon. Astronauts Lovell, Haise and Swigert were scheduled to fly Apollo 14, but are moved up to 13. It's 1970, and The US has already achieved their lunar landing goal, so there's little interest in this ""routine"" flight.. until that is, things go very wrong, and prospects of a safe return fade.",Won 2 Oscars. Another 26 wins & 59 nominations.,7.6,30 Jun 1995,nm0000165
ARMAGEDDON,tt0120591,,APP,FILM,"PRODUCTION COMPANY ACCOMMODATED CONCERNS ABOUT DEPICTION OF JCS, CHAIRMAN & MILITARY ASTRONAUTS. APPROVED USE OF USAF LOCATIONS, HELICOPTER.",1998,"Action, Adventure, Sci-Fi, Thriller",151 min,Michael Bay,"It is just another day at the National Aeronautics and Space Administration (NASA), a few astronauts were repairing a satellite until, out of nowhere, a series of asteroids came crashing into the shuttle, destroying it. These asteroids also decimated New York soon thereafter. Then, NASA discovered that there is an asteroid roughly the size of Texas heading towards the Earth, and when it does hit the Earth, the planet itself and all of its inhabitants will be obliterated, worse, the asteroid will hit the Earth in 18 days. Unfortunately, NASA's plans to destroy the asteroid are irrelevant. That is when the U.S. military decides to use a nuclear warhead to blow the asteroid to pieces. Then, scientists decide to blow the asteroid with the warhead inside the asteroid itself. The only man to do it, is an oil driller named Harry Stamper and his group of misfit drillers and geologists. As he and his drill team prepare for space excavation, the asteroid is still heading towards the Earth. When the crew are launched into outer space, they are determined to destroy this asteroid.",Nominated for 4 Oscars. Another 15 wins & 36 nominations.,6.7,01 Jul 1998,nm0000881
ARMORED COMMAND,tt0054636,,APP,FILM,ARMY PROVIDED MEN AND EQUIPMENT FOR WORLD WAR II STORY,1961,"Drama, War",99 min,Byron Haskin,An American army unit is trapped behind German lines in a small town by a German counterattack. The unit's commander discovers that there is a spy in town among the civilian population who is providing the Germans with military information.,,5.3,09 Jul 1961,nm0005738
ARMY WIVES,tt1068169,LEAVING THE TRIBE,APP,TV,"APPROVED FILMING FOR ONE DAY (MAY 5) AT CHARLESTON AIR FORCE BASE, CHARLESTON, SC. FILMING INVOLVED STATIC C-17 AND ”NOSE HANGAR"" INTERIOR AND EXTERIOR FILMING. APPROXIMATELY 70 OFF-DUTY AIR FORCE PERSONNEL AND FAMILY MEMBERS APPEARED AS (ARMY) EXTRAS TO ENACT A HOMECOMING FOR RETURNING SOLDIERS ON A MEDEVAC FLIGHT. PRODUCTION COMPANY VEHICLES (PORTRAYING ARMY VEHICLES) ALSO OPERATED ON THE RAMP AS BACKGROUND.",2008,"Drama, Romance, War",43 min,Lloyd Ahern II,"After Trevor gets wounded while patrolling in Iraq, it's a long wait for news, but his family feels it was worth it: daddy is coming home! Meanwhile Betty admits her beastly behavior to the...",,8.6,29 Jun 2008,nm0013889
ARMY WIVES,tt1068167,STRANGERS IN A STRANGE LAND,APP,FILM,"APPROVED FILMING FOR SEVERAL HOURS IN THE BASE EXCHANGE AT CHARLESTON AIR FORCE BASE, SC, FOR A DIALOGUE SEQUENCE PORTRAYING FAMILY MEMBERS SHOPPING.",2008,"Drama, Romance, War",60 min,John T. Kretchmer,The Army wives deal with the aftermath of an unexpected tragedy. Joan wrestles with her decision to terminate her pregnancy.,,8.3,15 Jun 2008,nm0470971
ARMY WIVES,tt1403870,INCOMING,APP,TV,"APPROVED FILMING IN AND AROUND A STATIC C-17 AIRCRAFT AT CHARLESTON AIR FORCE BASE ON MARCH 10, 2009. THE PRODUCTION COMPANY ALSO FILMED PREVIOUSLY-SCHEDULED ROUTINE C-17 FLIGHT OPERATIONS. APPROXIMATELY 20 OFF-DUTY AIR FORCE PERSONNEL WERE EMPLOYED AS EXTRAS.",2009,"Drama, Romance, War",43 min,Chris Peppe,"Michael has good news. Joan has an opportunity. Frank heads home, and Denise waits to see if she is still welcome. Jeremy makes a new friend. Roland receives an offer of a new job.",,8.4,28 Jun 2009,nm0672562
ARMY WIVES,tt2392645,"EPISODE 623 ""ONWARD""",APP,TV,"DOD SENT AN EMAIL TO THE PRODUCTION COMPANY NOTIFYING IT THAT [DOD HAD APPROVED PRODUCTION ASSISTANCE. THE ASSISTANCE CONSISTS OF PREPPING AND FILMING AT JOINT BASE CHARLESTON, SC, FOR TWO DAYS BEGINNING JUNE 10, 2012. THIS IS AN ENACTMENT OF A MILITARY DEPLOYMENT FAREWELL, USING A STATIC C-17 HANGAR, FLIGHT LINE, AND SEVERAL HUNDRED EXTRAS {MOSTLY ARMY AND AIR FORCE PERSONNEL OFF-DUTY, AND FAMILY MEMBERS].",2012,"Drama, Romance, War",43 min,John T. Kretchmer,The group learns that Fort Marshall is merging with an air force base.,,8.4,09 Sep 2012,nm0470971
ARMY WIVES,tt1068170,THE HERO RETURNS,APP,TV,"APPROVED USING A CHARLESTON AIR FORCE BASE ""AMBUS,"" DRIVER, AND VARIOUS AIR FORCE MEDICAL STAFF FOR ONE DAY, TO SIMULATE A MEDEVAC TO THE FICTIONAL ARMY HOSPITAL",2008,"Drama, Romance, War",55 min,Joanna Kerns,"Trevor returns home a hero but is conflicted; Frank, still in Iraq, becomes worried about Denise's newfound independence.",,8.5,06 Jul 2008,nm0005088
ASTEROID,tt0118261,,APP,TV,AIR FORCE AND ARMY GAVE FULL COOPERATION TO STORY OF ASTEROID HITTING EARTH,1997,"Sci-Fi, Thriller",122 min,Bradford May,"With the discovery of an incoming asteroid, the government of America formulate a plan to destroy it. When the plan fails, all the world can do is wait. The main impact zone is revealed to be Dallas, Texas. Generally, the plot follows the lives and reactions of several characters: an astronomer, her father, her son, two firefighters from Kansas City, two young doctors in Dallas and the heads of the government agency in charge of the situation.",Won 1 Primetime Emmy. Another 6 nominations.,4.8,16 Feb 1997,nm0561879
AT WAR WITH THE ARMY,tt0042209,,APP,FILM,DEAN MARTIN JERRY LEWIS COMEDY SET IN PEACETIME ARMY,1950,"Comedy, Musical, War",93 min,Hal Walker,"Alvin Corwin is low man on the totem pole, and goes from one mishap to another at an army training camp in World War II.",,5.7,17 Jan 1951,nm0907779
ATTACK!,tt0048966,,DEN,FILM,ATTACK! WAS THE FIRST MAJOR MILITARY MOVIE IN THE POST-WORLD WAR II PERIOD WHICH DID NOT RECEIVE ARMY COOPERATION BECAUSE OF THE STORY LINE IN WHICH AN ENLISTED MAN KILLED HIS COMMANDER DUE TO THE OFFICER'S INCOMPETENCE.,1956,"Action, Drama, War",107 min,Robert Aldrich,"During the closing days of WWII, a National Guard Infantry Company is assigned the task of setting up artillery observation posts in a strategic area. Lieutenant Costa knows that Cooney is in command only because of 'connections' he had made state-side. Costa has serious doubts concerning Cooneys' ability to lead the group. When Cooney sends Costa and his men out, and refuses to re-enforce them, Costa swears revenge.",1 win & 1 nomination.,7.4,17 Oct 1956,nm0000736
AWAY ALL BOATS,tt0048971,,APP,FILM,"FULL NAVY COOPERATION PORTRAYING AMPHIBIOUS LANDINGS, USE OF SHIPS AND LANDING CRAFT",1956,"Drama, War",114 min,Joseph Pevney,"The story of USS 'Belinda', Attack Transport PA22, launched late 1943 with regular-navy captain Hawks and ex-merchant captain MacDougall as boat commander. Despite personal friction, the two have plenty to deal with as the only experienced officers on board during the ""shakedown."" Almost laughable incompetence gradually improves, but the crew remains far from perfect when the ship sees action, landing troops on enemy beachheads. And few anticipate the challenges in store at Okinawa...",,6.3,16 Aug 1956,nm0678928
"B.R.A.T. PATROL, THE",tt0090680,,APP,TV,IT WAS AN ACCURATE AND POSITIVE PORTRAYAL OF THE MARINE CORPS AND IN THE BEST INTEREST OF THE MARINES TO COOPERATE.,1986,"Adventure, Drama, Family",95 min,Mollie Miller,A group of military brats uncovers a plot to steal base equipment.,,7.0,26 Oct 1986,nm0589023
BACK TO BATAAN,tt0037522,,APP,FILM,"AS TITLE SUGGESTS, A STORY ABOUT THE ARMY'S RETURN TO THE PHILIPPINES. JOHN WAYNE ACTION MOVIE. USE OF MEN AND EQUIPMENT FOR COMBAT SEQUENCES",1945,"Drama, War",95 min,Edward Dmytryk,"The US Army's defense of its Philippines colony and the allied Malay countries/colonies behind it counted on its island fortress of Corregidor on Luzon -and a few others- but loses it in the 6 May 1942 Japanese combined forces attack. Colonel Joseph Madden is among the escaping survivors who are ordered by general Douglas McArthur to organize a guerrilla. As he finds many native Filipinos inclined to resist the occupier's vision of returning to the South Asian fold under a paternalistic empire which doesn't hesitate to 'spank the unruly', but is mainly civilian, unprepared, inept in military matters, Madden appeals to the legendary anti-US freedom fighter Andres Bonifácio's homonymous grandson Captain Andrés Bonifácio, who is luckily rescued from a POW dead march, to inspire the resistance -once his own fighting spirit is rekindled- with him in a still very unsure war, retaliated by bloody, ten to one repression. When the Japanese realize the people side against them, they stage fake independence under imperial prince Ito, but are betrayed. While the tide of war turns against Japan all around the Pacific, the bitter fight intensifies further...",,6.7,31 May 1945,nm0229424
"BAILOUT AT 43,000 FEET",tt0050160,,APP,FILM,"FULL AIR FORCE COOPERATION ON STORY OF THE DEVELOPMENT OF THE EJECTION SYSTEM FOR B-475. MEN, PLANES, LOCALES",1957,Drama,78 min,Francis D. Lyon,An Air Force major feels a volatile mixture of relief and anger when he is excused from performing a dangerous test in a new aircraft.,,6.0,01 May 1957,nm0528927
BAMBOO PRISON,tt0046746,,APP,FILM,STORY ABOUT AMERICAN PRISONERS OF WAR DURING THE KOREAN WAR. LIMITED USE OF MEN AND EQUIPMENT,1954,"Drama, War",79 min,Lewis Seiler,"Corp. Brady (Brian Keith) an American soldier captured during the Korean War, is taken to a POF camp. There he meets Sgt. Rand (Robert Francis)a prisoner who is cooperating with the North Koreans. Brady is disgusted by these actions, but he soon discovers that Rand is actually an intelligence officer playing along to access important secrets. Rand also becomes close to Tanya Clanton (Dianne Foster), the wife of an American traitor, in order to exact information.",,6.1,01 Dec 1954,nm0782597
BAMBOO SAUCER,tt0062704,,LIM,FILM,CONVOLUTED SCIENCE FICTION STORY ABOUT A FLYING SAUCER. LIMITED AIR FORCE COOPERATION,1968,Sci-Fi,103 min,Frank Telford,"A flying saucer hidden in a Red Chinese peasant village is sought by teams from the United States and U.S.S.R. On finding it, they band together to explore the saucer and take a trip into space.",,5.5,01 Sep 1974,nm0854358
BAT 21,tt0094712,,APP,FILM,"INITIAL SCRIPT RECEIVED AIR FORCE APPROVAL 5-MAR-84. AIR FORCE FELT SCRIPT WAS AN EXCELLENTPORTRAYAL OF A TRUE INCIDENT THAT OCCURRED IN VIETNAM. HOWEVER, THE PROJECT WENT INTO LIMBO UNTIL 1987, THE AIR FORCE APPROVED A NEW SCRIPT, ONCE SOME CHANGES WERE MADE. ASSISTANCE WAS PROVIDED IN THE PHILIPPINES, BUT TWO OBJECTIONAL SCENES REMAINED IN THE FILM, INCLUDING THE DESTRUCTION OF A VIETNAMESE VILLAGE. ACCORDINGLY, DOD DECLINED SCREEN CREDIT.",1988,"Drama, War",105 min,Peter Markle,"Lt. Col. Iceal ""Ham"" Hambleton is a weapons countermeasures expert and when his aircraft is shot over enemy territory the Air Force very much wants to get him back. Hambleton knows the area he's in is going to be carpet-bombed but a temporary shortage of helicopters causes a delay. Working with an Air Force reconnaissance pilot, Capt. Bartholomew Clark, he maps out an escape route based on golf courses he has played. Along the way however, he has to face enemy forces and the death of some of his fellow soldiers.",1 nomination.,6.5,21 Oct 1988,nm0548533
BATAAN,tt0035664,,LIM,FILM,"CLASSIC ARMY STORY ABOUT FALL OF BATAAN. GROUP OF AMERICAN SOLDIERS FIGHT REAR GUARD ACTION, DYING ONE BY ONE STORY FILMED AT STUDIO AND OBTAINED LIMITED ASSISTANCE IN THE FORM OF INFORMATION. ARMY APPROVED COMPLETED PRODUCTION",1943,"Drama, War",114 min,Tay Garnett,Japan has just invaded the Phillipines and the US Army attempts a desperate defence. Thirteen men are chosen to blow up a bridge on the Bataan peninsula and keep the Japanese from rebuilding it.,2 wins.,6.9,15 Apr 1944,nm0307819
BATMAN AND ROBIN,tt0118688,,LIM,FILM,ARMY ALLOWED USE OF WIND TUNNEL AT FORT BRAGG FOR BRIFF SEQUENCE,1997,"Action, Sci-Fi",125 min,Joel Schumacher,"Batman and Robin are back working side-by-side to stop the villains of Gotham City, but is there tension appearing between them, especially when one villainess who calls herself Poison Ivy can make anyone fall in love with her...literally. Along with Poison Ivy, the icy Mr. Freeze is freezing anything which gets in his way from achieving his goal.",10 wins & 22 nominations.,3.8,20 Jun 1997,nm0001708
